category,sub_category
Baby Care,Baby Accessories
Baby Care,Baby Bath & Hygiene
Baby Care,Baby Food & Formula
Baby Care,Diapers & Wipes
Baby Care,Feeding & Nursing
"Bakery, Cakes & Dairy",Bakery Snacks
"Bakery, Cakes & Dairy",Breads & Buns
"Bakery, Cakes & Dairy",Cakes & Pastries
"Bakery, Cakes & Dairy","Cookies, Rusk & Khari"
"Bakery, Cakes & Dairy",Dairy
"Bakery, Cakes & Dairy",Gourmet Breads
"Bakery, Cakes & Dairy",Ice Creams & Desserts
"Bakery, Cakes & Dairy",Non Dairy
Beauty & Hygiene,Bath & Hand Wash
Beauty & Hygiene,Feminine Hygiene
Beauty & Hygiene,Fragrances & Deos
Beauty & Hygiene,Hair Care
Beauty & Hygiene,Health & Medicine
Beauty & Hygiene,Makeup
Beauty & Hygiene,Men's Grooming
Beauty & Hygiene,Mothers & Maternity
Beauty & Hygiene,Oral Care
Beauty & Hygiene,Skin Care
Beverages,Coffee
Beverages,Energy & Soft Drinks
Beverages,Fruit Juices & Drinks
Beverages,"Health Drink, Supplement"
Beverages,Tea
Beverages,Water
Cleaning & Household,All Purpose Cleaners
Cleaning & Household,Bins & Bathroom Ware
Cleaning & Household,Car & Shoe Care
Cleaning & Household,Detergents & Dishwash
Cleaning & Household,"Disposables, Garbage Bag"
Cleaning & Household,Fresheners & Repellents
Cleaning & Household,"Mops, Brushes & Scrubs"
Cleaning & Household,Party & Festive Needs
Cleaning & Household,Pooja Needs
Cleaning & Household,Stationery
"Eggs, Meat & Fish",Eggs
"Eggs, Meat & Fish",Fish & Seafood
"Eggs, Meat & Fish",Marinades
"Eggs, Meat & Fish",Mutton & Lamb
"Eggs, Meat & Fish",Pork & Other Meats
"Eggs, Meat & Fish","Sausages, Bacon & Salami"
"Foodgrains, Oil & Masala","Atta, Flours & Sooji"
"Foodgrains, Oil & Masala",Dals & Pulses
"Foodgrains, Oil & Masala",Dry Fruits
"Foodgrains, Oil & Masala",Edible Oils & Ghee
"Foodgrains, Oil & Masala",Masalas & Spices
"Foodgrains, Oil & Masala",Organic Staples
"Foodgrains, Oil & Masala",Rice & Rice Products
"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Fruits & Vegetables,Cuts & Sprouts
Fruits & Vegetables,Exotic Fruits & Veggies
Fruits & Vegetables,"Flower Bouquets, Bunches"
Fruits & Vegetables,Fresh Fruits
Fruits & Vegetables,Fresh Vegetables
Fruits & Vegetables,Herbs & Seasonings
Fruits & Vegetables,Organic Fruits & Vegetables
Gourmet & World Food,Cereals & Breakfast
Gourmet & World Food,Chocolates & Biscuits
Gourmet & World Food,Cooking & Baking Needs
Gourmet & World Food,Dairy & Cheese
Gourmet & World Food,Drinks & Beverages
Gourmet & World Food,Oils & Vinegar
Gourmet & World Food,"Pasta, Soup & Noodles"
Gourmet & World Food,"Sauces, Spreads & Dips"
Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
Gourmet & World Food,Tinned & Processed Food
"Kitchen, Garden & Pets",Appliances & Electricals
"Kitchen, Garden & Pets",Bakeware
"Kitchen, Garden & Pets",Cookware & Non Stick
"Kitchen, Garden & Pets",Crockery & Cutlery
"Kitchen, Garden & Pets",Flask & Casserole
"Kitchen, Garden & Pets",Gardening
"Kitchen, Garden & Pets",Kitchen Accessories
"Kitchen, Garden & Pets",Pet Food & Accessories
"Kitchen, Garden & Pets",Steel Utensils
"Kitchen, Garden & Pets",Storage & Accessories
Snacks & Branded Foods,Biscuits & Cookies
Snacks & Branded Foods,Breakfast Cereals
Snacks & Branded Foods,Chocolates & Candies
Snacks & Branded Foods,Frozen Veggies & Snacks
Snacks & Branded Foods,Indian Mithai
Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
Snacks & Branded Foods,Pickles & Chutney
Snacks & Branded Foods,Ready To Cook & Eat
Snacks & Branded Foods,Snacks & Namkeen
Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
